model,rank_bin,rank_midpoint,truth_rate
Llama-3-8B,0,0.025,0.250949841452
Llama-3-8B,1,0.075,0.326928131455
Llama-3-8B,2,0.125,0.377303969636
Llama-3-8B,3,0.175,0.413859189341
Llama-3-8B,4,0.225,0.438134174469
Llama-3-8B,5,0.275,0.471061003737
Llama-3-8B,6,0.325,0.491792711054
Llama-3-8B,7,0.375,0.494039180887
Llama-3-8B,8,0.425,0.510823519783
Llama-3-8B,9,0.475,0.535449863399
Llama-3-8B,10,0.525,0.541114312159
Llama-3-8B,11,0.575,0.562216815371
Llama-3-8B,12,0.625,0.598802181224
Llama-3-8B,13,0.675,0.617462029113
Llama-3-8B,14,0.725,0.646192634619
Llama-3-8B,15,0.775,0.662343196527
Llama-3-8B,16,0.825,0.680110224711
Llama-3-8B,17,0.875,0.692970209438
Llama-3-8B,18,0.925,0.696560794126
Llama-3-8B,19,0.975,0.707739676037
Llama-3-70B,0,0.025,0.618976221211
Llama-3-70B,1,0.075,0.658000611455
Llama-3-70B,2,0.125,0.684829879747
Llama-3-70B,3,0.175,0.695805489503
Llama-3-70B,4,0.225,0.712726221211
Llama-3-70B,5,0.275,0.713945733406
Llama-3-70B,6,0.325,0.717604269991
Llama-3-70B,7,0.375,0.726140855357
Llama-3-70B,8,0.425,0.743214026089
Llama-3-70B,9,0.475,0.753318555705
Llama-3-70B,10,0.525,0.755299836022
Llama-3-70B,11,0.575,0.758294028991
Llama-3-70B,12,0.625,0.769019050165
Llama-3-70B,13,0.675,0.77023856236
Llama-3-70B,14,0.725,0.76779953797
Llama-3-70B,15,0.775,0.773897098945
Llama-3-70B,16,0.825,0.773897098945
Llama-3-70B,17,0.875,0.780439956274
Llama-3-70B,18,0.925,0.786537578372
Llama-3-70B,19,0.975,0.788795876084
