model,n,mean,ci_low,ci_high
Llama-3-8B,1,0.535792682927,0.472925304878,0.596951219512
Llama-3-8B,2,0.607940853659,0.542701341463,0.670743795732
Llama-3-8B,4,0.658355776159,0.591687462701,0.722857269898
Llama-3-8B,8,0.687995416935,0.620945952057,0.752699405016
Llama-3-8B,16,0.701208677299,0.634637249551,0.765645654771
Llama-3-8B,32,0.707355771397,0.641634990447,0.771268594243
Llama-3-8B,64,0.712243303938,0.646607625024,0.775884485058
Llama-3-8B,100,0.715083028268,0.648619410548,0.779613958482
Llama-3-70B,1,0.73743902439,0.67505945122,0.796525914634
Llama-3-70B,2,0.761626219512,0.699542865854,0.820075884146
Llama-3-70B,4,0.775200430793,0.713444108425,0.833626159512
Llama-3-70B,8,0.782243160437,0.720829419485,0.840620264031
Llama-3-70B,16,0.786327545325,0.724868188612,0.844531197419
Llama-3-70B,32,0.788312152968,0.726944978138,0.846492514848
Llama-3-70B,64,0.788677418197,0.727018961205,0.846904950662
Llama-3-70B,100,0.788444528273,0.726389357948,0.847147969644
