model,problem_index,gsm8k_index,baseline_truth,high_scale_truth,delta,within_problem_auc
Llama-3-8B-Instruct,0,17,0.914625,1.0,0.08537499999999998,0.9656135824413393
Llama-3-8B-Instruct,1,43,0.39075,1.0,0.6092500000000001,0.9996888972549711
Llama-3-8B-Instruct,2,51,0.8495,1.0,0.15049999999999997,1.0
Llama-3-8B-Instruct,3,64,0.17275000000000001,0.0,-0.17275000000000001,0.3877304321547296
Llama-3-8B-Instruct,4,65,0.7893749999999999,1.0,0.21062500000000006,1.0
Llama-3-8B-Instruct,5,69,0.9896250000000001,1.0,0.010374999999999912,0.9918887372148693
Llama-3-8B-Instruct,6,70,0.60825,1.0,0.39175000000000004,0.9658831148290455
Llama-3-8B-Instruct,7,74,0.861,1.0,0.139,0.9798340117104923
Llama-3-8B-Instruct,8,81,0.99425,1.0,0.005750000000000033,1.0
Llama-3-8B-Instruct,9,86,0.9975,1.0,0.0024999999999999467,1.0
Llama-3-8B-Instruct,10,89,0.479625,0.0,-0.479625,0.06544248383456255
Llama-3-8B-Instruct,11,91,0.998625,1.0,0.001375000000000015,1.0
Llama-3-8B-Instruct,12,95,0.991,1.0,0.009000000000000008,1.0
Llama-3-8B-Instruct,13,120,0.9265,1.0,0.07350000000000001,0.9998657719968722
Llama-3-8B-Instruct,14,123,0.99225,1.0,0.007750000000000035,1.0
Llama-3-8B-Instruct,15,127,0.9995,1.0,0.0004999999999999449,1.0
Llama-3-8B-Instruct,16,146,0.93725,1.0,0.06274999999999997,1.0
Llama-3-8B-Instruct,17,151,0.849125,1.0,0.15087499999999998,0.9959665945900983
Llama-3-8B-Instruct,18,179,0.99725,1.0,0.00275000000000003,0.9931060416144397
Llama-3-8B-Instruct,19,182,0.39025,1.0,0.60975,1.0
Llama-3-8B-Instruct,20,196,0.9958750000000001,0.9998744979919679,0.00399949799196786,0.9848484848484849
Llama-3-8B-Instruct,21,205,0.039874999999999994,0.0,-0.039874999999999994,0.25257127978127847
Llama-3-8B-Instruct,22,223,0.993,1.0,0.007000000000000006,0.9862767047906777
Llama-3-8B-Instruct,23,228,0.973125,1.0,0.026874999999999982,0.9998900688563278
Llama-3-8B-Instruct,24,248,0.999125,1.0,0.0008749999999999591,0.9823059462744186
Llama-3-8B-Instruct,25,262,1.0,1.0,0.0,nan
Llama-3-8B-Instruct,26,263,0.995375,1.0,0.00462499999999999,0.9998761162267378
Llama-3-8B-Instruct,27,275,0.865375,1.0,0.134625,1.0
Llama-3-8B-Instruct,28,284,0.83575,1.0,0.16425,1.0
Llama-3-8B-Instruct,29,288,0.949125,1.0,0.050875000000000004,1.0
Llama-3-8B-Instruct,30,291,0.8835,1.0,0.11650000000000005,1.0
Llama-3-8B-Instruct,31,292,0.609875,1.0,0.39012500000000006,0.9973991550340411
Llama-3-8B-Instruct,32,304,0.8687499999999999,1.0,0.1312500000000001,0.9971348406988694
Llama-3-8B-Instruct,33,308,0.8370000000000001,1.0,0.16299999999999992,0.9912854299975811
Llama-3-8B-Instruct,34,313,0.48162499999999997,1.0,0.518375,1.0
Llama-3-8B-Instruct,35,329,1.0,1.0,0.0,nan
Llama-3-8B-Instruct,36,331,0.721625,1.0,0.27837500000000004,0.9112193384949883
Llama-3-8B-Instruct,37,345,0.999125,1.0,0.0008749999999999591,1.0
Llama-3-8B-Instruct,38,354,0.735375,1.0,0.264625,0.9998300588446845
Llama-3-8B-Instruct,39,361,0.33762499999999995,1.0,0.662375,1.0
Llama-3-8B-Instruct,40,364,0.71675,1.0,0.28325,1.0
Llama-3-8B-Instruct,41,365,0.99475,1.0,0.005249999999999977,1.0
Llama-3-8B-Instruct,42,384,0.8252499999999999,1.0,0.17475000000000007,0.9994370284463154
Llama-3-8B-Instruct,43,386,0.9675,1.0,0.03249999999999997,1.0
Llama-3-8B-Instruct,44,392,0.219625,1.0,0.780375,0.983554033562553
Llama-3-8B-Instruct,45,401,0.9390000000000001,1.0,0.06099999999999994,0.9501378395659841
Llama-3-8B-Instruct,46,410,0.611625,1.0,0.388375,0.9990034238332766
Llama-3-8B-Instruct,47,429,0.9885,1.0,0.011499999999999955,1.0
Llama-3-8B-Instruct,48,464,0.89525,1.0,0.10475000000000001,1.0
