model,rank_midpoint,truth_rate
Llama-3-8B-Instruct,0.025,0.36193511708
Llama-3-8B-Instruct,0.075,0.498060986382
Llama-3-8B-Instruct,0.125,0.588359695371
Llama-3-8B-Instruct,0.175,0.674082552887
Llama-3-8B-Instruct,0.225,0.705278371689
Llama-3-8B-Instruct,0.275,0.748290182712
Llama-3-8B-Instruct,0.325,0.760829552791
Llama-3-8B-Instruct,0.375,0.771680735145
Llama-3-8B-Instruct,0.425,0.801806638028
Llama-3-8B-Instruct,0.475,0.823125535666
Llama-3-8B-Instruct,0.525,0.828755456926
Llama-3-8B-Instruct,0.575,0.842515299445
Llama-3-8B-Instruct,0.625,0.861157031729
Llama-3-8B-Instruct,0.675,0.871688527792
Llama-3-8B-Instruct,0.725,0.862121598658
Llama-3-8B-Instruct,0.775,0.860743645902
Llama-3-8B-Instruct,0.825,0.866137346689
Llama-3-8B-Instruct,0.875,0.876688527792
Llama-3-8B-Instruct,0.925,0.881885378186
Llama-3-8B-Instruct,0.975,0.881885378186
Llama-3-70B-Instruct,0.025,0.72143066583
Llama-3-70B-Instruct,0.075,0.830678226788
Llama-3-70B-Instruct,0.125,0.858337736489
Llama-3-70B-Instruct,0.175,0.878829862473
Llama-3-70B-Instruct,0.225,0.885448170513
Llama-3-70B-Instruct,0.275,0.917338565834
Llama-3-70B-Instruct,0.325,0.944110219378
Llama-3-70B-Instruct,0.375,0.957673211504
Llama-3-70B-Instruct,0.425,0.963165337488
Llama-3-70B-Instruct,0.475,0.968499983157
Llama-3-70B-Instruct,0.525,0.968499983157
Llama-3-70B-Instruct,0.575,0.968499983157
Llama-3-70B-Instruct,0.625,0.968499983157
Llama-3-70B-Instruct,0.675,0.968499983157
Llama-3-70B-Instruct,0.725,0.968499983157
Llama-3-70B-Instruct,0.775,0.968499983157
Llama-3-70B-Instruct,0.825,0.968499983157
Llama-3-70B-Instruct,0.875,0.968499983157
Llama-3-70B-Instruct,0.925,0.968499983157
Llama-3-70B-Instruct,0.975,0.968499983157
