model,n,mean,ci_low,ci_high
Llama-3-8B-Instruct,1,0.768351377953,0.715631569882,0.817072022638
Llama-3-8B-Instruct,2,0.836906445866,0.783852315062,0.885758546438
Llama-3-8B-Instruct,4,0.865507533786,0.809529484725,0.916370862939
Llama-3-8B-Instruct,8,0.875807303171,0.817877932406,0.928277037486
Llama-3-8B-Instruct,16,0.880131476711,0.823223928014,0.934321560351
Llama-3-8B-Instruct,32,0.881701307966,0.826369125752,0.93672089418
Llama-3-8B-Instruct,64,0.881882838721,0.82675879433,0.936997718337
Llama-3-8B-Instruct,128,0.881885377535,0.826761893479,0.937001078587
Llama-3-8B-Instruct,256,0.881885378186,0.826761894151,0.937001079237
Llama-3-8B-Instruct,512,0.881885378186,0.826761894151,0.937001079237
Llama-3-8B-Instruct,1024,0.881885378186,0.826761894151,0.937001079237
Llama-3-8B-Instruct,2048,0.881885378186,0.826761894151,0.937001079237
Llama-3-8B-Instruct,4096,0.881885378186,0.826761894151,0.937001079237
Llama-3-70B-Instruct,1,0.930525590551,0.900712672244,0.956228395669
Llama-3-70B-Instruct,2,0.959402070374,0.928366333864,0.984025844134
Llama-3-70B-Instruct,4,0.967594233458,0.936052097662,0.991417647346
Llama-3-70B-Instruct,8,0.968483487528,0.936984349419,0.992114222271
Llama-3-70B-Instruct,16,0.968499969104,0.93700194334,0.992124964656
Llama-3-70B-Instruct,32,0.968499983157,0.937001948704,0.992124990936
Llama-3-70B-Instruct,64,0.968499983157,0.937001948704,0.992124990936
Llama-3-70B-Instruct,128,0.968499983157,0.937001948704,0.992124990936
Llama-3-70B-Instruct,256,0.968499983157,0.937001948704,0.992124990936
Llama-3-70B-Instruct,512,0.968499983157,0.937001948704,0.992124990936
Llama-3-70B-Instruct,1024,0.968499983157,0.937001948704,0.992124990936
Llama-3-70B-Instruct,2048,0.968499983157,0.937001948704,0.992124990936
Llama-3-70B-Instruct,4096,0.968499983157,0.937001948704,0.992124990936
