model,split,mean_delta,problems_harmed_gt_1pp,problems_harmed_gt_5pp,worst_delta,macro_auc
Llama-3-8B-Instruct,0,0.11353400023276439,14,12,-0.479625,0.9069823612578529
Llama-3-8B-Instruct,1,0.12141357260493278,13,11,-0.32262499999999994,0.9144898662629255
Llama-3-8B-Instruct,2,0.11342535242843346,14,12,-0.481,0.905245816137579
Llama-3-8B-Instruct,3,0.1132757750421789,14,12,-0.483375,0.9060993492432964
Llama-3-8B-Instruct,4,0.12121602921380183,13,11,-0.32825000000000004,0.9138798861917165
Llama-3-8B-Instruct,5,0.11329875494212709,14,12,-0.48425,0.9061969241047999
Llama-3-8B-Instruct,6,0.11344058894492277,14,12,-0.48124999999999996,0.9063922707317995
Llama-3-8B-Instruct,7,0.12135087725730755,13,11,-0.322875,0.9143777204505021
Llama-3-8B-Instruct,8,0.11358398610749278,14,12,-0.4786249999999999,0.9073672399777456
Llama-3-8B-Instruct,9,0.10535009716652063,15,13,-0.4784999999999999,0.9015455711511308
Llama-3-70B-Instruct,0,0.03797439260588461,3,3,-0.35975,0.9616556923292199
Llama-3-70B-Instruct,1,0.0381023133505707,3,3,-0.35325,0.959556641630421
Llama-3-70B-Instruct,2,0.03808164416718289,3,3,-0.360625,0.9612085173297276
Llama-3-70B-Instruct,3,0.037914314255611134,3,3,-0.358375,0.9595933656429619
Llama-3-70B-Instruct,4,0.038154510584994646,3,3,-0.3555,0.9619170359207361
Llama-3-70B-Instruct,5,0.037909418889631126,3,3,-0.359375,0.96275121409087
Llama-3-70B-Instruct,6,0.03803242788244615,3,3,-0.357625,0.9595540417329473
Llama-3-70B-Instruct,7,0.03807968593931685,3,3,-0.3565,0.9607500745667447
Llama-3-70B-Instruct,8,0.038031457076276434,3,3,-0.354625,0.9618211486163044
Llama-3-70B-Instruct,9,0.0380767245652364,3,3,-0.36274999999999996,0.9613719475171593
