m,N,L,bins,primal_lower,discrete_dual,discrete_gap,continuum_dual_at_a,continuum_minus_primal,change_from_previous_bins,constructive_lower,constructive_upper,lambda_plus,lambda_minus,a_l1
2,8,1.0,2048,0.13932291666666494,0.13932291666666674,1.8041124150158794e-15,0.13932297259104706,5.592438212520534e-08,,0.07777777777777778,0.6111111111111112,0.0,0.0,2.970582038338675
2,8,1.0,4096,0.13932291666667343,0.1393229166666664,-7.022160630754115e-15,0.13932293064213316,1.3975459733917006e-08,8.493206138382448e-15,0.07777777777777778,0.6111111111111112,1.1102230246251565e-16,0.0,2.9696657732347305
2,8,1.0,8192,0.13932291666665184,0.13932291666666685,1.5015766408055242e-14,0.1393229201598299,3.4931780523717038e-09,-2.1593837828959295e-14,0.07777777777777778,0.6111111111111112,0.0,0.0,2.9692078251418934
4,16,1.0,2048,0.04613061652222221,0.046130616522208255,-1.3954115640757436e-14,0.04613071918900054,1.0266677832881932e-07,,0.014086687306501547,0.27014839481695185,0.0,0.0,34.774507098027314
4,16,1.0,4096,0.04613064620173819,0.046130646202359384,6.211905989594868e-13,0.046130671840608414,2.563887022133393e-08,2.9679515983760396e-08,0.014086687306501547,0.27014839481695185,0.0,0.0,34.75512981501765
4,16,1.0,8192,0.046130661028686355,0.046130661028562704,-1.236510893676268e-13,0.046130667433945546,6.405259191100132e-09,1.482694816229424e-08,0.014086687306501547,0.27014839481695185,0.0,0.0,34.734584530343575
8,64,1.0,2048,0.020791311103913163,0.020791311108039424,4.126261832215761e-12,0.020791549079899267,2.3797598610458826e-07,,0.004494120700860318,0.08481645958758915,1.1368683772161603e-13,0.0,10705.024264594631
8,64,1.0,4096,0.020791449412508954,0.020791449410648376,-1.8605776641589244e-12,0.02079150907845493,5.96659459756177e-08,1.3830859579150312e-07,0.004494120700860318,0.08481645958758915,0.0,7.675784191358654e-14,10707.869121391961
8,64,1.0,8192,0.020791485741312638,0.020791485740637636,-6.750017211842874e-13,0.020791500635295782,1.4893983144026457e-08,3.632880368406588e-08,0.004494120700860318,0.08481645958758915,4.342450793616366e-14,0.0,10697.81752855212
8,64,4.0,2048,0.0722716855050824,0.07227168550295618,-2.126215870035253e-12,0.0722743988298125,2.7133247301053265e-06,,0.01797648280344127,0.3392658383503566,0.022792578304233757,0.0,16235.881571553226
8,64,4.0,4096,0.07227386982718915,0.07227386982079981,-6.389347384505584e-12,0.07227439007173758,5.20244548427029e-07,2.184322106760228e-06,0.01797648280344127,0.3392658383503566,0.022820988208650306,0.0,16236.421276181323
8,64,4.0,8192,0.07227415327741114,0.07227415327948182,2.0706769632283795e-12,0.07227434683910967,1.9356169853046445e-07,2.8345022198839054e-07,0.01797648280344127,0.3392658383503566,0.022838358579974738,0.0,16243.774927805911
