m,N,L,bins,n,a_n
2,8,1.0,8192,1,-0.9846039125709466
2,8,1.0,8192,2,1.9846039125709467
4,16,1.0,8192,1,-0.931448029369547
4,16,1.0,8192,2,7.15195307000008
4,16,1.0,8192,3,-15.935844235802241
4,16,1.0,8192,4,10.715339195171708
8,64,1.0,8192,1,-0.982967425206497
8,64,1.0,8192,2,25.28114343032797
8,64,1.0,8192,3,-234.52715960008823
8,64,1.0,8192,4,1062.3212725208866
8,64,1.0,8192,5,-2609.939737619525
8,64,1.0,8192,6,3546.394178721229
8,64,1.0,8192,7,-2502.95889963124
8,64,1.0,8192,8,715.4121696036163
8,64,4.0,8192,1,-1.8634673680059042
8,64,4.0,8192,2,43.81599741920815
8,64,4.0,8192,3,-390.67000737395574
8,64,4.0,8192,4,1710.7063803622968
8,64,4.0,8192,5,-4066.8864975059255
8,64,4.0,8192,6,5351.471045453842
8,64,4.0,8192,7,-3661.978910834358
8,64,4.0,8192,8,1016.3826214883184
