phase,model,design,tail_fraction,tasks,target_N,label_budget,replicates,theoretical_omitted_mass_bound,target_truth,expected_estimand,absolute_bias,median_absolute_error,q95_absolute_error,rmse
discovery,Llama-3-8B,candidate top-tail,0.05,82,100,500,5000,0.00592052922033,0.732614564001,0.732495293581,0.000119270419962,0.0156648258995,0.0447464896766,0.0230059144126
discovery,Llama-3-70B,candidate top-tail,0.05,82,100,500,5000,0.00592052922033,0.785451783084,0.785451783082,2.53863596811e-12,0.0147079305985,0.0406028959581,0.0210581540505
discovery,Llama-3-8B,candidate top-tail,0.1,82,100,500,5000,2.65613988876e-05,0.732614564001,0.732614559946,4.05503741696e-09,0.0212824622572,0.0592098708906,0.0308308505947
discovery,Llama-3-70B,candidate top-tail,0.1,82,100,500,5000,2.65613988876e-05,0.785451783084,0.785451783082,2.53863596811e-12,0.0176318115055,0.0499466550631,0.0257363844509
discovery,Llama-3-8B,candidate top-tail,0.2,82,100,500,5000,2.03703597633e-10,0.732614564001,0.732614564001,5.44009282066e-14,0.0291676211638,0.0847563970598,0.043446317629
discovery,Llama-3-70B,candidate top-tail,0.2,82,100,500,5000,2.03703597633e-10,0.785451783084,0.785451783082,2.53863596811e-12,0.0225570898655,0.0654617934564,0.0333922409346
heldout,Llama-3-8B,uniform candidates,,82,100,500,5000,0,0.697551492535,0.697551492535,0,0.0654725969875,0.180276892701,0.0947192527784
heldout,Llama-3-8B,frozen top-tail,0.05,82,100,500,5000,0.00592052922033,0.697551492535,0.697475725344,7.57671909788e-05,0.0167416274613,0.0491453457815,0.0248726606686
heldout,Llama-3-70B,uniform candidates,,82,100,500,5000,0,0.791437273462,0.791437273462,0,0.0264514823143,0.0762553279058,0.0389809971941
heldout,Llama-3-70B,frozen top-tail,0.05,82,100,500,5000,0.00592052922033,0.791437273462,0.791364482586,7.27908752622e-05,0.012220641496,0.0354735562632,0.0180353142247
