task_id,split
HumanEval/1,discovery
HumanEval/10,discovery
HumanEval/100,discovery
HumanEval/101,discovery
HumanEval/104,discovery
HumanEval/106,discovery
HumanEval/107,discovery
HumanEval/109,discovery
HumanEval/110,discovery
HumanEval/113,discovery
HumanEval/115,discovery
HumanEval/117,discovery
HumanEval/12,discovery
HumanEval/121,discovery
HumanEval/122,discovery
HumanEval/125,discovery
HumanEval/126,discovery
HumanEval/127,discovery
HumanEval/128,discovery
HumanEval/129,discovery
HumanEval/130,discovery
HumanEval/136,discovery
HumanEval/138,discovery
HumanEval/14,discovery
HumanEval/140,discovery
HumanEval/142,discovery
HumanEval/145,discovery
HumanEval/146,discovery
HumanEval/147,discovery
HumanEval/148,discovery
HumanEval/15,discovery
HumanEval/152,discovery
HumanEval/155,discovery
HumanEval/158,discovery
HumanEval/16,discovery
HumanEval/163,discovery
HumanEval/18,discovery
HumanEval/19,discovery
HumanEval/20,discovery
HumanEval/21,discovery
HumanEval/22,discovery
HumanEval/23,discovery
HumanEval/28,discovery
HumanEval/3,discovery
HumanEval/30,discovery
HumanEval/32,discovery
HumanEval/33,discovery
HumanEval/34,discovery
HumanEval/35,discovery
HumanEval/36,discovery
HumanEval/37,discovery
HumanEval/39,discovery
HumanEval/41,discovery
HumanEval/45,discovery
HumanEval/46,discovery
HumanEval/47,discovery
HumanEval/48,discovery
HumanEval/49,discovery
HumanEval/50,discovery
HumanEval/51,discovery
HumanEval/54,discovery
HumanEval/55,discovery
HumanEval/56,discovery
HumanEval/58,discovery
HumanEval/62,discovery
HumanEval/63,discovery
HumanEval/65,discovery
HumanEval/68,discovery
HumanEval/69,discovery
HumanEval/7,discovery
HumanEval/70,discovery
HumanEval/74,discovery
HumanEval/78,discovery
HumanEval/79,discovery
HumanEval/80,discovery
HumanEval/81,discovery
HumanEval/82,discovery
HumanEval/85,discovery
HumanEval/87,discovery
HumanEval/90,discovery
HumanEval/92,discovery
HumanEval/97,discovery
HumanEval/0,heldout
HumanEval/102,heldout
HumanEval/103,heldout
HumanEval/105,heldout
HumanEval/108,heldout
HumanEval/11,heldout
HumanEval/111,heldout
HumanEval/112,heldout
HumanEval/114,heldout
HumanEval/116,heldout
HumanEval/118,heldout
HumanEval/119,heldout
HumanEval/120,heldout
HumanEval/123,heldout
HumanEval/124,heldout
HumanEval/13,heldout
HumanEval/131,heldout
HumanEval/132,heldout
HumanEval/133,heldout
HumanEval/134,heldout
HumanEval/135,heldout
HumanEval/137,heldout
HumanEval/139,heldout
HumanEval/141,heldout
HumanEval/143,heldout
HumanEval/144,heldout
HumanEval/149,heldout
HumanEval/150,heldout
HumanEval/151,heldout
HumanEval/153,heldout
HumanEval/154,heldout
HumanEval/156,heldout
HumanEval/157,heldout
HumanEval/159,heldout
HumanEval/160,heldout
HumanEval/161,heldout
HumanEval/162,heldout
HumanEval/17,heldout
HumanEval/2,heldout
HumanEval/24,heldout
HumanEval/25,heldout
HumanEval/26,heldout
HumanEval/27,heldout
HumanEval/29,heldout
HumanEval/31,heldout
HumanEval/38,heldout
HumanEval/4,heldout
HumanEval/40,heldout
HumanEval/42,heldout
HumanEval/43,heldout
HumanEval/44,heldout
HumanEval/5,heldout
HumanEval/52,heldout
HumanEval/53,heldout
HumanEval/57,heldout
HumanEval/59,heldout
HumanEval/6,heldout
HumanEval/60,heldout
HumanEval/61,heldout
HumanEval/64,heldout
HumanEval/66,heldout
HumanEval/67,heldout
HumanEval/71,heldout
HumanEval/72,heldout
HumanEval/73,heldout
HumanEval/75,heldout
HumanEval/76,heldout
HumanEval/77,heldout
HumanEval/8,heldout
HumanEval/83,heldout
HumanEval/84,heldout
HumanEval/86,heldout
HumanEval/88,heldout
HumanEval/89,heldout
HumanEval/9,heldout
HumanEval/91,heldout
HumanEval/93,heldout
HumanEval/94,heldout
HumanEval/95,heldout
HumanEval/96,heldout
HumanEval/98,heldout
HumanEval/99,heldout
