model,design,target_N,label_budget,replicates,target_truth,expected_estimand,absolute_bias,theoretical_bias_bound,median_absolute_error,q95_absolute_error,rmse,maximum_importance_weighted_outcome
Llama-3-8B,uniform candidates,100,25,5000,0.715083028268,0.715083028268,0,0,0.175620957854,0.726739067168,0.446900836222,63.3967658727
Llama-3-8B,uniform candidates,100,50,5000,0.715083028268,0.715083028268,0,0,0.148801259282,0.640916691275,0.299242746729,63.3967658727
Llama-3-8B,uniform candidates,100,100,5000,0.715083028268,0.715083028268,0,0,0.121645444236,0.443615694897,0.209891265428,63.3967658727
Llama-3-8B,uniform candidates,100,250,5000,0.715083028268,0.715083028268,0,0,0.0901057369128,0.257709258532,0.136418330457,63.3967658727
Llama-3-8B,uniform candidates,100,500,5000,0.715083028268,0.715083028268,0,0,0.0650836359376,0.18397804582,0.0956600909806,63.3967658727
Llama-3-8B,uniform candidates,100,1000,5000,0.715083028268,0.715083028268,0,0,0.0459149231132,0.131258820074,0.0681027476894,63.3967658727
Llama-3-8B,uniform candidates,100,2000,5000,0.715083028268,0.715083028268,0,0,0.0323963780618,0.0930702826289,0.0481781420885,63.3967658727
Llama-3-8B,uniform candidates,100,5000,5000,0.715083028268,0.715083028268,0,0,0.020501411112,0.059564098006,0.0303387624238,63.3967658727
Llama-3-8B,width-8 winners,100,25,5000,0.715083028268,0.715083028268,0,0,0.100512687611,0.315727660758,0.16090982095,8.20613748185
Llama-3-8B,width-8 winners,100,50,5000,0.715083028268,0.715083028268,0,0,0.075747955398,0.214049767027,0.111096249904,8.20613748185
Llama-3-8B,width-8 winners,100,100,5000,0.715083028268,0.715083028268,0,0,0.0539165296536,0.15675445119,0.0808478487501,8.20613748185
Llama-3-8B,width-8 winners,100,250,5000,0.715083028268,0.715083028268,0,0,0.035180106991,0.098639956451,0.0511455155612,8.20613748185
Llama-3-8B,width-8 winners,100,500,5000,0.715083028268,0.715083028268,0,0,0.023899957434,0.0697084204482,0.0357715150699,8.20613748185
Llama-3-8B,width-8 winners,100,1000,5000,0.715083028268,0.715083028268,0,0,0.0173424121409,0.0508864437215,0.0258043655282,8.20613748185
Llama-3-8B,width-8 winners,100,2000,5000,0.715083028268,0.715083028268,0,0,0.0122515823541,0.0352266295153,0.0180411945307,8.20613748185
Llama-3-8B,width-8 winners,100,5000,5000,0.715083028268,0.715083028268,0,0,0.00769720566848,0.0223034192203,0.0114541869997,8.20613748185
Llama-3-8B,top-5% rank audit,100,25,5000,0.715083028268,0.714985509463,9.75188054703e-05,0.00592052922033,0.0717470658282,0.216781441966,0.108665482855,3.16983829363
Llama-3-8B,top-5% rank audit,100,50,5000,0.715083028268,0.714985509463,9.75188054703e-05,0.00592052922033,0.0536883014131,0.152236804829,0.0772602258764,3.16983829363
Llama-3-8B,top-5% rank audit,100,100,5000,0.715083028268,0.714985509463,9.75188054703e-05,0.00592052922033,0.036739267619,0.104818712515,0.0538234409278,3.16983829363
Llama-3-8B,top-5% rank audit,100,250,5000,0.715083028268,0.714985509463,9.75188054703e-05,0.00592052922033,0.0226059195065,0.0666004635771,0.0336448434547,3.16983829363
Llama-3-8B,top-5% rank audit,100,500,5000,0.715083028268,0.714985509463,9.75188054703e-05,0.00592052922033,0.0164269615299,0.0472567916528,0.0242283908226,3.16983829363
Llama-3-8B,top-5% rank audit,100,1000,5000,0.715083028268,0.714985509463,9.75188054703e-05,0.00592052922033,0.0115579207573,0.033563608998,0.01707948681,3.16983829363
Llama-3-8B,top-5% rank audit,100,2000,5000,0.715083028268,0.714985509463,9.75188054703e-05,0.00592052922033,0.00786476787479,0.0231520814019,0.0118206564643,3.16983829363
Llama-3-8B,top-5% rank audit,100,5000,5000,0.715083028268,0.714985509463,9.75188054703e-05,0.00592052922033,0.00512618007393,0.014720964279,0.00758399692491,3.16983829363
Llama-3-8B,deployment winners,100,25,5000,0.715083028268,0.715083028268,0,0,0.0750830282681,0.164916971732,0.0889131718235,1
Llama-3-8B,deployment winners,100,50,5000,0.715083028268,0.715083028268,0,0,0.0449169717319,0.124916971732,0.0632476030301,1
Llama-3-8B,deployment winners,100,100,5000,0.715083028268,0.715083028268,0,0,0.0349169717319,0.0850830282681,0.045592647558,1
Llama-3-8B,deployment winners,100,250,5000,0.715083028268,0.715083028268,0,0,0.0190830282681,0.0569169717319,0.0288648653127,1
Llama-3-8B,deployment winners,100,500,5000,0.715083028268,0.715083028268,0,0,0.0130830282681,0.0390830282681,0.020312861016,1
Llama-3-8B,deployment winners,100,1000,5000,0.715083028268,0.715083028268,0,0,0.00908302826812,0.0280830282681,0.0143571456798,1
Llama-3-8B,deployment winners,100,2000,5000,0.715083028268,0.715083028268,0,0,0.00691697173188,0.0199169717319,0.010240884862,1
Llama-3-8B,deployment winners,100,5000,5000,0.715083028268,0.715083028268,0,0,0.00431697173188,0.0127169717319,0.00646912288057,1
Llama-3-70B,uniform candidates,100,25,5000,0.788444528273,0.788444528273,0,0,0.101529936328,0.329050700068,0.23310410458,63.3967658727
Llama-3-70B,uniform candidates,100,50,5000,0.788444528273,0.788444528273,0,0,0.0815151072929,0.247806053476,0.172982155624,63.3967658727
Llama-3-70B,uniform candidates,100,100,5000,0.788444528273,0.788444528273,0,0,0.0621464762295,0.212092988254,0.120510588015,63.3967658727
Llama-3-70B,uniform candidates,100,250,5000,0.788444528273,0.788444528273,0,0,0.0444915482324,0.160250033011,0.0788433079383,63.3967658727
Llama-3-70B,uniform candidates,100,500,5000,0.788444528273,0.788444528273,0,0,0.035636696423,0.110110033836,0.0559359743995,63.3967658727
Llama-3-70B,uniform candidates,100,1000,5000,0.788444528273,0.788444528273,0,0,0.0266439604596,0.0786695413621,0.0403026265972,63.3967658727
Llama-3-70B,uniform candidates,100,2000,5000,0.788444528273,0.788444528273,0,0,0.0193708903215,0.0554564530453,0.0287531229674,63.3967658727
Llama-3-70B,uniform candidates,100,5000,5000,0.788444528273,0.788444528273,0,0,0.0121094403931,0.0348940752854,0.0180189655655,63.3967658727
Llama-3-70B,width-8 winners,100,25,5000,0.788444528273,0.788444528273,1.11022302463e-16,0,0.0672434810135,0.218542582653,0.109371807931,8.20613748185
Llama-3-70B,width-8 winners,100,50,5000,0.788444528273,0.788444528273,1.11022302463e-16,0,0.0498230588659,0.155520725962,0.0775463722714,8.20613748185
Llama-3-70B,width-8 winners,100,100,5000,0.788444528273,0.788444528273,1.11022302463e-16,0,0.0356476462863,0.108569733715,0.0543067313086,8.20613748185
Llama-3-70B,width-8 winners,100,250,5000,0.788444528273,0.788444528273,1.11022302463e-16,0,0.0233416746952,0.0668613501745,0.0341883618351,8.20613748185
Llama-3-70B,width-8 winners,100,500,5000,0.788444528273,0.788444528273,1.11022302463e-16,0,0.0158849886655,0.047033262425,0.0238497193098,8.20613748185
Llama-3-70B,width-8 winners,100,1000,5000,0.788444528273,0.788444528273,1.11022302463e-16,0,0.0116702703793,0.0334163144623,0.0171612596285,8.20613748185
Llama-3-70B,width-8 winners,100,2000,5000,0.788444528273,0.788444528273,1.11022302463e-16,0,0.00838208459537,0.0235855434511,0.012248826695,8.20613748185
Llama-3-70B,width-8 winners,100,5000,5000,0.788444528273,0.788444528273,1.11022302463e-16,0,0.00533089908502,0.0150263349544,0.0077606866406,8.20613748185
