model,audit_m,target_N,observed_theta_N,observed_ci_low,observed_ci_high,plug_in_lower,plug_in_upper,plug_in_width,bootstrap_lower,bootstrap_upper,bootstrap_width,simultaneous_critical_value,max_exact_audit_residual,max_bootstrap_band_violation,grid_bins,bootstrap_replicates
Llama-3-8B,2,100,0.715083028268,0.649579420736,0.777991076261,1.51666339309e-08,1,0.999999984833,3.86915639145e-13,1,1,2.02447577525,6.883e-15,8.438e-15,1000,20000
Llama-3-8B,4,100,0.715083028268,0.649579420736,0.777991076261,0.00342202581675,0.999999892765,0.996577866949,2.7077479485e-06,1,0.999997292252,2.08476607949,6.883e-15,1.600e-11,1000,20000
Llama-3-8B,6,100,0.715083028268,0.649579420736,0.777991076261,0.0590407132131,0.99967431386,0.940633600647,0.000287417348552,0.999999999849,0.9997125825,2.11448016676,6.994e-15,8.438e-15,1000,20000
Llama-3-8B,8,100,0.715083028268,0.649579420736,0.777991076261,0.18562081809,0.991928719578,0.806307901487,0.00258774114316,0.999999971573,0.997412230429,2.13078074658,7.216e-15,8.660e-15,1000,20000
Llama-3-8B,10,100,0.715083028268,0.649579420736,0.777991076261,0.327994114279,0.96068290954,0.632688795262,0.0091533548047,0.999999223468,0.990845868663,2.13933695066,7.105e-15,1.600e-11,1000,20000
Llama-3-8B,12,100,0.715083028268,0.649579420736,0.777991076261,0.453380102184,0.90679935467,0.453419252487,0.0207382281388,0.999992561885,0.979254333746,2.14707994222,7.216e-15,1.000e-10,1000,20000
Llama-3-8B,16,100,0.715083028268,0.649579420736,0.777991076261,0.620294850459,0.796103877294,0.175809026835,0.0564545441562,0.999867404659,0.943412860503,2.15866762627,7.105e-15,1.341e-09,1000,20000
Llama-3-8B,20,100,0.715083028268,0.649579420736,0.777991076261,0.690436098975,0.737474440829,0.0470383418535,0.102031926509,0.999228170522,0.897196244013,2.16432285428,6.883e-15,1.686e-09,1000,20000
Llama-3-70B,2,100,0.788444528273,0.724967280205,0.84736468973,5.01723463448e-06,1,0.999994982765,1.79965065416e-08,1,0.999999982003,2.03437105591,1.210e-14,1.354e-14,1000,20000
Llama-3-70B,4,100,0.788444528273,0.724967280205,0.84736468973,0.0175646224126,0.999999989181,0.982435366769,0.00020329352391,1,0.999796706476,2.07093369542,1.210e-14,1.600e-11,1000,20000
Llama-3-70B,6,100,0.788444528273,0.724967280205,0.84736468973,0.136117145798,0.999900397368,0.86378325157,0.00381975356973,1,0.99618024643,2.08627039463,1.210e-14,2.441e-10,1000,20000
Llama-3-70B,8,100,0.788444528273,0.724967280205,0.84736468973,0.304657681412,0.996020132012,0.6913624506,0.0159884634605,0.99999999973,0.98401153627,2.09476973301,1.232e-14,5.765e-10,1000,20000
Llama-3-70B,10,100,0.788444528273,0.724967280205,0.84736468973,0.453919593086,0.975869823446,0.52195023036,0.0372290600072,0.999999979577,0.96277091957,2.10358206861,1.210e-14,9.313e-10,1000,20000
Llama-3-70B,12,100,0.788444528273,0.724967280205,0.84736468973,0.569085493362,0.936525040231,0.367439546869,0.0650895128547,0.999999631608,0.934910118753,2.10789897479,1.221e-14,1.157e-09,1000,20000
Llama-3-70B,16,100,0.788444528273,0.724967280205,0.84736468973,0.710842606452,0.851635635224,0.140793028772,0.130230499216,0.99998562499,0.869755125775,2.11636260849,1.199e-14,1.600e-09,1000,20000
Llama-3-70B,20,100,0.788444528273,0.724967280205,0.84736468973,0.768500454306,0.806019560349,0.0375191060428,0.196660937627,0.999870271936,0.803209334309,2.1216620547,1.210e-14,1.860e-09,1000,20000
