m,N,m2_over_N,exact_width,legendre_lower_bound,theta_limit
4,5,3.2,0.01953125,0.00793650793651,0.164557508045
4,8,2,0.1708984375,0.0707070707071,0.431927780713
4,16,1,0.600817203522,0.28173374613,0.830493500976
4,16,1,0.600817203522,0.28173374613,0.830493500976
4,64,0.25,0.99675331866,0.731429238014,0.999896553628
4,256,0.0625,0.999999999986,0.924845137767,1
8,9,7.11111111111,0.000137329101564,4.1135335253e-05,0.00491063292639
8,16,4,0.0282122790813,0.00874949522143,0.0826679414164
8,32,2,0.286336242997,0.102577950875,0.431927780713
8,64,1,0.718847791139,0.323576690462,0.830493500976
8,256,0.25,0.99921118168,0.754800712975,0.999896553628
8,1024,0.0625,1,0.932101742311,1
16,17,15.0588235294,3.95812503602e-09,8.57042624784e-10,2.52590268275e-06
16,32,8,0.000588032877099,0.000133286178591,0.00214128361224
16,64,4,0.051398360857,0.0135912232872,0.0826679414164
16,256,1,0.77619543452,0.345336427259,0.830493500976
16,1024,0.25,0.999684687679,0.766717790253,0.999896553628
16,4096,0.0625,1,0.935750470459,1
32,33,31.0303030303,4.16138150747e-15,2.77030241144e-19,4.19844710024e-13
32,64,16,1.89116942014e-07,3.08504427912e-08,1.01585877375e-06
32,128,8,0.00124712087474,0.000238536344555,0.00214128361224
32,1024,1,0.803833918207,0.356499243332,0.830493500976
32,4096,0.25,0.999814205447,0.772738017322,0.999896553628
32,16384,0.0625,1,0.937580022676,1
64,65,63.0153846154,1.14879401581e-14,2.10376559063e-38,7.69085347236e-27
64,128,32,3.69093161215e-14,1.65062669377e-15,1.61672674673e-13
64,256,16,5.36897496538e-07,7.34666170044e-08,1.01585877375e-06
64,4096,1,0.817300570794,0.362160796785,0.830493500976
64,16384,0.25,0.999860304366,0.775764017808,0.999896553628
64,65536,0.0625,1,0.938496105429,1
128,129,127.007751938,0,8.70125172339e-77,1.76455152326e-54
128,256,64,0,4.72216429123e-30,2.89553087497e-27
128,512,32,0,6.96839455673e-15,1.61672674673e-13
128,16384,1,0.823933116029,0.365012809189,0.830493500976
128,65536,0.25,0.999879549699,0.777281046786,0.999896553628
128,262144,0.0625,1,0.938954474629,1
