targets,selected_pointwise_coverage,simultaneous_critical_value,width_inflation
1,0.95,1.95996398454,1
2,0.95,2.23647664456,1.14108048015
5,0.881095683594,2.56876316801,1.31061753597
10,0.776329620856,2.7996252193,1.42840646123
20,0.602687680219,3.01599453349,1.538800997
50,0.281988102341,3.28347981613,1.67527558773
100,0.0795172898618,3.47397886915,1.77247076811
500,3.17912679342e-06,3.88440373281,1.98187505661
1000,1.01068471686e-11,4.04966054955,2.06619130836
10000,1.11213366e-110,4.55942790084,2.32628147088
100000,0,5.02141095818,2.56199144361
