m,N,m2_over_N,L,legendre_amplitude,explicit_lower_bound,gauss_upper_bound,gauss_endpoint_radius,constructed_lipschitz,constructed_f_max,constructed_g_max,max_audited_moment_residual
2,16,0.25,1,0.166666666667,0.114379084967,0.558823529412,0.5,1,0.416666666667,0.25,4.857e-17
2,8,0.5,1,0.166666666667,0.0777777777778,0.611111111111,0.5,1,0.416666666667,0.25,4.857e-17
2,4,1,1,0.166666666667,0.0333333333333,0.375,0.5,1,0.416666666667,0.25,4.857e-17
2,3,1.33333333333,1,0.166666666667,0.0166666666667,0.1875,0.5,1,0.416666666667,0.25,4.857e-17
2,3,1.33333333333,1,0.166666666667,0.0166666666667,0.1875,0.5,1,0.416666666667,0.25,4.857e-17
4,64,0.25,1,0.05,0.0365714619007,0.22670948079,0.211324865405,1,0.161607142847,0.111607142847,5.551e-17
4,32,0.5,1,0.05,0.0267082590612,0.241627895708,0.211324865405,1,0.161607142847,0.111607142847,5.551e-17
4,16,1,1,0.05,0.0140866873065,0.270148394817,0.211324865405,1,0.161607142847,0.111607142847,5.551e-17
4,8,2,1,0.05,0.00353535353535,0.1708984375,0.211324865405,1,0.161607142847,0.111607142847,5.551e-17
4,5,3.2,1,0.05,0.000396825396825,0.01953125,0.211324865405,1,0.161607142847,0.111607142847,5.551e-17
8,256,0.25,1,0.0138888888889,0.0104833432358,0.0733228947866,0.069431844203,1,0.0596573192635,0.0457684303746,5.551e-17
8,128,0.5,1,0.0138888888889,0.00791038498936,0.0771837821875,0.069431844203,1,0.0596573192635,0.0457684303746,5.551e-17
8,64,1,1,0.0138888888889,0.00449412070086,0.0848164595876,0.069431844203,1,0.0596573192635,0.0457684303746,5.551e-17
8,32,2,1,0.0138888888889,0.00142469376216,0.099734874506,0.069431844203,1,0.0596573192635,0.0457684303746,5.551e-17
8,16,4,1,0.0138888888889,0.000121520766964,0.0282122790813,0.069431844203,1,0.0596573192635,0.0457684303746,5.551e-17
16,1024,0.25,1,0.00367647058824,0.00281881540534,0.0208306815073,0.0198550717512,1,0.0214136912705,0.0177372206822,5.117e-17
16,512,0.5,1,0.00367647058824,0.00216108693112,0.02180438949,0.0198550717512,1,0.0214136912705,0.0177372206822,5.117e-17
16,256,1,1,0.00367647058824,0.00126961921786,0.0237461223349,0.0198550717512,1,0.0214136912705,0.0177372206822,5.117e-17
16,128,2,1,0.00367647058824,0.000436500468777,0.0276070097357,0.0198550717512,1,0.0214136912705,0.0177372206822,5.117e-17
16,64,4,1,0.00367647058824,4.99677326734e-05,0.0352396871358,0.0198550717512,1,0.0214136912705,0.0177372206822,5.117e-17
32,4096,0.25,1,0.00094696969697,0.000731759486101,0.00554361353908,0.00529953250418,1,0.00758340264424,0.00663643294727,1.095e-17
32,2048,0.5,1,0.00094696969697,0.000565449197467,0.00578757545195,0.00529953250418,1,0.00758340264424,0.00663643294727,1.095e-17
32,1024,1,1,0.00094696969697,0.000337593980428,0.00627514226027,0.00529953250418,1,0.00758340264424,0.00663643294727,1.095e-17
32,512,2,1,0.00094696969697,0.000120226819787,0.00724885024297,0.00529953250418,1,0.00758340264424,0.00663643294727,1.095e-17
32,256,4,1,0.00094696969697,1.51366237998e-05,0.00919058308783,0.00529953250418,1,0.00758340264424,0.00663643294727,1.095e-17
64,16384,0.25,1,0.000240384615385,0.00018648173505,0.00142910050645,0.00136806907526,1,0.00267116158974,0.00243077697436,6.356e-17
64,8192,0.5,1,0.000240384615385,0.000144665250777,0.00149012448842,0.00136806907526,1,0.00267116158974,0.00243077697436,6.356e-17
64,4096,1,1,0.000240384615385,8.70578838424e-05,0.00161215011016,0.00136806907526,1,0.00267116158974,0.00243077697436,6.356e-17
64,2048,2,1,0.000240384615385,3.15210097159e-05,0.00185611202304,0.00136806907526,1,0.00267116158974,0.00243077697436,6.356e-17
64,1024,4,1,0.000240384615385,4.12493289074e-06,0.00234367883136,0.00136806907526,1,0.00267116158974,0.00243077697436,6.356e-17
