m,N,exact_width,numeric_L1,absolute_error,max_moment_residual
1,2,0.4999999999999999,0.5,1.110e-16,0.000e+00
1,4,0.875,0.875,0.000e+00,0.000e+00
1,9,0.99609375,0.9960937500000001,1.110e-16,0.000e+00
1,16,0.999969482421875,0.9999694824218751,1.110e-16,0.000e+00
2,3,0.1874999999999997,0.1875,2.776e-16,2.220e-16
2,5,0.5273437499999997,0.52734375,3.331e-16,2.220e-16
2,11,0.9155302047729491,0.9155302047729492,1.110e-16,2.220e-16
2,21,0.9952431820920538,0.9952431820920538,0.000e+00,2.220e-16
3,4,0.06250000000000021,0.06249999999999999,2.151e-16,2.776e-17
3,6,0.2578125000000002,0.2578125,2.220e-16,2.776e-17
3,13,0.7449569702148439,0.7449569702148438,1.110e-16,2.776e-17
3,26,0.9674142601215863,0.9674142601215862,1.110e-16,2.776e-17
4,5,0.01953125000000054,0.01953125000000012,4.267e-16,4.163e-17
4,7,0.1110839843750007,0.1110839843749999,7.910e-16,4.163e-17
4,15,0.5596320331096655,0.5596320331096649,5.551e-16,4.163e-17
4,31,0.9109153208167569,0.9109153208167569,0.000e+00,4.163e-17
5,6,0.005859374999999789,0.005859374999999943,1.535e-16,1.388e-16
5,8,0.04394531249999977,0.0439453124999999,1.318e-16,1.388e-16
5,17,0.3996739536523814,0.3996739536523818,3.886e-16,1.388e-16
5,36,0.8352541520565326,0.8352541520565328,1.110e-16,1.388e-16
6,7,0.001708984374999871,0.001708984375000093,2.218e-16,3.331e-16
6,9,0.01634216308593731,0.0163421630859375,1.943e-16,3.331e-16
6,19,0.2757926418562416,0.2757926418562422,5.551e-16,3.331e-16
6,41,0.7510560990278379,0.7510560990278383,4.441e-16,3.331e-16
7,8,0.0004882812500003877,0.0004882812500000108,3.769e-16,1.110e-16
7,10,0.005798339843750277,0.005798339843750041,2.359e-16,1.110e-16
7,21,0.1856732071610174,0.185673207161017,4.441e-16,1.110e-16
7,46,0.6657647392060655,0.6657647392060666,1.110e-15,1.110e-16
8,9,0.0001373291015638904,0.0001373291015623839,1.507e-15,1.110e-16
8,11,0.001982688903810325,0.001982688903808486,1.839e-15,1.110e-16
8,23,0.1227191373826051,0.1227191373826033,1.776e-15,1.110e-16
8,51,0.5838695161018671,0.5838695161018652,1.887e-15,1.110e-16
